,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,_Desc,_Desc2,_Desc3,HP,Damage,Defence,_TIER,_HP,_Damage,_Defence,,,,,,,,,,,,,,,,,,
1_62,1_27,Tank,Normal,1254,3,94,10954,1,5,1,,,,,,,,,,,,,,,,,,
1_63,1_27,Archer,Normal,627,6,19,3127,1,5,1,,,,,,,,,,,,,,,,,,
1_64,1_28,Warrior,Normal,946,4,50,6346,1,5,1,,,,,,,,,,,,,,,,,,
1_65,1_28,Tank,Normal,1261,3,95,11061,1,5,1,,,,,,,,,,,,,,,,,,
1_66,1_28,Archer,Normal,630,6,19,3130,1,5,1,,,,,,,,,,,,,,,,,,
1_67,1_29,Warrior,Normal,951,4,51,6451,1,5,1,,,,,,,,,,,,,,,,,,
1_68,1_29,Tank,Normal,1268,3,95,11068,1,5,1,,,,,,,,,,,,,,,,,,
1_69,1_29,Archer,Normal,634,6,19,3134,1,5,1,,,,,,,,,,,,,,,,,,
1_70,1_30,Warrior,Normal,956,6,51,6656,1,3,1,,,,,,,,,,,,,,,,,,
1_71,1_30,Tank,Normal,1275,4,96,11275,1,3,1,,,,,,,,,,,,,,,,,,
1_72,1_30,Archer,Normal,637,11,19,3637,1,3,1,,,,,,,,,,,,,,,,,,
1_73,1_35,Warrior,Normal,980,7,52,6880,1,3,1,,,,,,,,,,,,,,,,,,
1_74,1_31,Warrior,Normal,961,6,51,6661,1,3,1,,,,,,,,,,,,,,,,,,
1_75,1_31,Tank,Normal,1281,4,96,11281,1,3,1,,,,,,,,,,,,,,,,,,
1_76,1_31,Archer,Normal,641,11,19,3641,1,3,1,,,,,,,,,,,,,,,,,,
1_77,1_32,Warrior,Normal,966,6,52,6766,1,3,1,,,,,,,,,,,,,,,,,,
1_78,1_32,Tank,Normal,1288,4,97,11388,1,3,1,,,,,,,,,,,,,,,,,,
1_79,1_32,Archer,Normal,644,11,19,3644,1,3,1,,,,,,,,,,,,,,,,,,
1_80,1_33,Warrior,Normal,970,6,52,6770,1,3,1,,,,,,,,,,,,,,,,,,
1_81,1_33,Tank,Normal,1294,4,97,11394,1,3,1,,,,,,,,,,,,,,,,,,
1_82,1_33,Archer,Normal,647,11,19,3647,1,3,1,,,,,,,,,,,,,,,,,,
1_83,1_34,Warrior,Normal,975,7,52,6875,1,3,1,,,,,,,,,,,,,,,,,,
1_84,1_34,Tank,Normal,1300,4,98,11500,1,3,1,,,,,,,,,,,,,,,,,,
1_85,1_34,Archer,Normal,650,11,20,3750,1,3,1,,,,,,,,,,,,,,,,,,
1_86,1_35,Warrior,Normal,980,7,52,6880,1,3,1,,,,,,,,,,,,,,,,,,
1_87,1_35,Tank,Normal,1306,4,98,11506,1,3,1,,,,,,,,,,,,,,,,,,
1_88,1_35,Archer,Normal,653,11,20,3753,1,3,1,,,,,,,,,,,,,,,,,,
1_89,1_36,Warrior,Normal,984,7,52,6884,1,3,1,,,,,,,,,,,,,,,,,,
1_90,1_36,Tank,Normal,1312,4,98,11512,1,3,1,,,,,,,,,,,,,,,,,,
1_91,1_36,Archer,Normal,656,11,20,3756,1,3,1,,,,,,,,,,,,,,,,,,
1_92,1_37,Warrior,Normal,988,7,53,6988,1,3,1,,,,,,,,,,,,,,,,,,
1_93,1_37,Tank,Normal,1318,4,99,11618,1,3,1,,,,,,,,,,,,,,,,,,
1_94,1_37,Archer,Normal,659,11,20,3759,1,3,1,,,,,,,,,,,,,,,,,,
1_95,1_38,Warrior,Normal,993,7,53,6993,1,3,1,,,,,,,,,,,,,,,,,,
1_96,1_38,Tank,Normal,1323,4,99,11623,1,3,1,,,,,,,,,,,,,,,,,,
1_97,1_38,Archer,Normal,662,11,20,3762,1,3,1,,,,,,,,,,,,,,,,,,
1_98,1_39,Warrior,Normal,997,7,53,6997,1,3,1,,,,,,,,,,,,,,,,,,
1_99,1_39,Tank,Normal,1329,4,100,11729,1,3,1,,,,,,,,,,,,,,,,,,
1_100,1_39,Archer,Normal,664,11,20,3764,1,3,1,,,,,,,,,,,,,,,,,,
1_101,1_40,Warrior,Normal,1001,13,53,7601,1,1.5,1,,,,,,,,,,,,,,,,,,
1_102,1_40,Tank,Normal,1334,9,100,12234,1,1.5,1,,,,,,,,,,,,,,,,,,
1_103,1_40,Archer,Normal,667,22,20,4867,1,1.5,1,,,,,,,,,,,,,,,,,,
1_104,1_45,Warrior,Normal,1020,14,54,7820,1,1.5,1,,,,,,,,,,,,,,,,,,
1_105,1_41,Warrior,Normal,1005,13,54,7705,1,1.5,1,,,,,,,,,,,,,,,,,,
1_106,1_41,Tank,Normal,1340,9,100,12240,1,1.5,1,,,,,,,,,,,,,,,,,,
1_107,1_41,Archer,Normal,670,22,20,4870,1,1.5,1,,,,,,,,,,,,,,,,,,
1_108,1_42,Warrior,Normal,1009,13,54,7709,1,1.5,1,,,,,,,,,,,,,,,,,,
1_109,1_42,Tank,Normal,1345,9,101,12345,1,1.5,1,,,,,,,,,,,,,,,,,,
1_110,1_42,Archer,Normal,672,22,20,4872,1,1.5,1,,,,,,,,,,,,,,,,,,
1_111,1_43,Warrior,Normal,1013,14,54,7813,1,1.5,1,,,,,,,,,,,,,,,,,,
1_112,1_43,Tank,Normal,1350,9,101,12350,1,1.5,1,,,,,,,,,,,,,,,,,,
1_113,1_43,Archer,Normal,675,23,20,4975,1,1.5,1,,,,,,,,,,,,,,,,,,
1_114,1_44,Warrior,Normal,1016,14,54,7816,1,1.5,1,,,,,,,,,,,,,,,,,,
1_115,1_44,Tank,Normal,1355,9,102,12455,1,1.5,1,,,,,,,,,,,,,,,,,,
1_116,1_44,Archer,Normal,678,23,20,4978,1,1.5,1,,,,,,,,,,,,,,,,,,
1_117,1_45,Warrior,Normal,1020,14,54,7820,1,1.5,1,,,,,,,,,,,,,,,,,,
1_118,1_45,Tank,Normal,1360,9,102,12460,1,1.5,1,,,,,,,,,,,,,,,,,,
1_119,1_45,Archer,Normal,680,23,20,4980,1,1.5,1,,,,,,,,,,,,,,,,,,
1_120,1_46,Warrior,Normal,1024,14,55,7924,1,1.5,1,,,,,,,,,,,,,,,,,,
1_121,1_46,Tank,Normal,1365,9,102,12465,1,1.5,1,,,,,,,,,,,,,,,,,,
1_122,1_46,Archer,Normal,682,23,20,4982,1,1.5,1,,,,,,,,,,,,,,,,,,
1_123,1_47,Warrior,Normal,1027,14,55,7927,1,1.5,1,,,,,,,,,,,,,,,,,,
1_124,1_47,Tank,Normal,1370,9,103,12570,1,1.5,1,,,,,,,,,,,,,,,,,,
1_125,1_47,Archer,Normal,685,23,21,5085,1,1.5,1,,,,,,,,,,,,,,,,,,
1_126,1_48,Warrior,Normal,1031,14,55,7931,1,1.5,1,,,,,,,,,,,,,,,,,,
1_127,1_48,Tank,Normal,1374,9,103,12574,1,1.5,1,,,,,,,,,,,,,,,,,,
1_128,1_48,Archer,Normal,687,23,21,5087,1,1.5,1,,,,,,,,,,,,,,,,,,
1_129,1_49,Warrior,Normal,1034,14,55,7934,1,1.5,1,,,,,,,,,,,,,,,,,,
1_130,1_49,Tank,Normal,1379,9,103,12579,1,1.5,1,,,,,,,,,,,,,,,,,,
1_131,1_49,Archer,Normal,690,23,21,5090,1,1.5,1,,,,,,,,,,,,,,,,,,
1_132,1_50,Warrior,Normal,1038,21,55,8638,1,1,1,,,,,,,,,,,,,,,,,,
1_133,1_50,Tank,Normal,1384,14,104,13184,1,1,1,,,,,,,,,,,,,,,,,,
1_134,1_50,Archer,Normal,692,35,21,6292,1,1,1,,,,,,,,,,,,,,,,,,
1_135,2_5,Warrior,Normal,1469,29,78,12169,1,1,1,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_1,2_1,Warrior,Normal,1200,24,64,10000,,,,,,,,,,,,,,,,,,,,,
2_2,2_1,Tank,Normal,1600,16,120,15200,,,,,,,,,,,,,,,,,,,,,
2_3,2_1,Archer,Normal,800,40,24,7200,,,,,,,,,,,,,,,,,,,,,
2_4,2_2,Warrior,Normal,1304,26,70,10904,,,,,,,,,,,,,,,,,,,,,
2_5,2_2,Tank,Normal,1738,17,130,16438,,,,,,,,,,,,,,,,,,,,,
2_6,2_2,Archer,Normal,869,43,26,7769,,,,,,,,,,,,,,,,,,,,,
2_7,2_3,Warrior,Normal,1372,27,73,11372,,,,,,,,,,,,,,,,,,,,,
2_8,2_3,Tank,Normal,1830,18,137,17330,,,,,,,,,,,,,,,,,,,,,
2_9,2_3,Archer,Normal,915,46,27,8215,,,,,,,,,,,,,,,,,,,,,
2_10,2_4,Warrior,Normal,1425,29,76,11925,,,,,,,,,,,,,,,,,,,,,
2_11,2_4,Tank,Normal,1900,19,143,18100,,,,,,,,,,,,,,,,,,,,,
2_12,2_4,Archer,Normal,950,48,29,8650,,,,,,,,,,,,,,,,,,,,,
2_13,2_5,Warrior,Normal,1469,29,78,12169,,,,,,,,,,,,,,,,,,,,,
2_14,2_5,Tank,Normal,1958,20,147,18658,,,,,,,,,,,,,,,,,,,,,
2_15,2_5,Archer,Normal,979,49,29,8779,,,,,,,,,,,,,,,,,,,,,
2_16,2_6,Warrior,Normal,1506,30,80,12506,,,,,,,,,,,,,,,,,,,,,
2_17,2_6,Tank,Normal,2008,20,151,19108,,,,,,,,,,,,,,,,,,,,,
2_18,2_6,Archer,Normal,1004,50,30,9004,,,,,,,,,,,,,,,,,,,,,
2_19,2_7,Warrior,Normal,1539,31,82,12839,,,,,,,,,,,,,,,,,,,,,
2_20,2_7,Tank,Normal,2052,21,154,19552,,,,,,,,,,,,,,,,,,,,,
2_21,2_7,Archer,Normal,1026,51,31,9226,,,,,,,,,,,,,,,,,,,,,
2_22,2_8,Warrior,Normal,1568,31,84,13068,,,,,,,,,,,,,,,,,,,,,
2_23,2_8,Tank,Normal,2091,21,157,19891,,,,,,,,,,,,,,,,,,,,,
2_24,2_8,Archer,Normal,1045,52,31,9345,,,,,,,,,,,,,,,,,,,,,
2_25,2_9,Warrior,Normal,1595,32,85,13295,,,,,,,,,,,,,,,,,,,,,
2_26,2_9,Tank,Normal,2126,21,159,20126,,,,,,,,,,,,,,,,,,,,,
2_27,2_9,Archer,Normal,1063,53,32,9563,,,,,,,,,,,,,,,,,,,,,
2_28,2_10,Warrior,Normal,1619,32,86,13419,,,,,,,,,,,,,,,,,,,,,
2_29,2_10,Tank,Normal,2159,22,162,20559,,,,,,,,,,,,,,,,,,,,,
2_30,2_10,Archer,Normal,1079,54,32,9679,,,,,,,,,,,,,,,,,,,,,
2_31,2_15,Warrior,Normal,1719,34,92,14319,,,,,,,,,,,,,,,,,,,,,
2_32,2_11,Warrior,Normal,1642,33,88,13742,,,,,,,,,,,,,,,,,,,,,
2_33,2_11,Tank,Normal,2189,22,164,20789,,,,,,,,,,,,,,,,,,,,,
2_34,2_11,Archer,Normal,1094,55,33,9894,,,,,,,,,,,,,,,,,,,,,
2_35,2_12,Warrior,Normal,1663,33,89,13863,,,,,,,,,,,,,,,,,,,,,
2_36,2_12,Tank,Normal,2217,22,166,21017,,,,,,,,,,,,,,,,,,,,,
2_37,2_12,Archer,Normal,1108,55,33,9908,,,,,,,,,,,,,,,,,,,,,
2_38,2_13,Warrior,Normal,1682,34,90,14082,,,,,,,,,,,,,,,,,,,,,
2_39,2_13,Tank,Normal,2243,22,168,21243,,,,,,,,,,,,,,,,,,,,,
2_40,2_13,Archer,Normal,1122,56,34,10122,,,,,,,,,,,,,,,,,,,,,
2_41,2_14,Warrior,Normal,1701,34,91,14201,,,,,,,,,,,,,,,,,,,,,
2_42,2_14,Tank,Normal,2268,23,170,21568,,,,,,,,,,,,,,,,,,,,,
2_43,2_14,Archer,Normal,1134,57,34,10234,,,,,,,,,,,,,,,,,,,,,
2_44,2_15,Warrior,Normal,1719,34,92,14319,,,,,,,,,,,,,,,,,,,,,
2_45,2_15,Tank,Normal,2291,23,172,21791,,,,,,,,,,,,,,,,,,,,,
2_46,2_15,Archer,Normal,1146,57,34,10246,,,,,,,,,,,,,,,,,,,,,
2_47,2_16,Warrior,Normal,1735,35,93,14535,,,,,,,,,,,,,,,,,,,,,
2_48,2_16,Tank,Normal,2314,23,174,22014,,,,,,,,,,,,,,,,,,,,,
2_49,2_16,Archer,Normal,1157,58,35,10457,,,,,,,,,,,,,,,,,,,,,
2_50,2_17,Warrior,Normal,1751,35,93,14551,,,,,,,,,,,,,,,,,,,,,
2_51,2_17,Tank,Normal,2335,23,175,22135,,,,,,,,,,,,,,,,,,,,,
2_52,2_17,Archer,Normal,1167,58,35,10467,,,,,,,,,,,,,,,,,,,,,
2_53,2_18,Warrior,Normal,1766,35,94,14666,,,,,,,,,,,,,,,,,,,,,
2_54,2_18,Tank,Normal,2355,24,177,22455,,,,,,,,,,,,,,,,,,,,,
2_55,2_18,Archer,Normal,1178,59,35,10578,,,,,,,,,,,,,,,,,,,,,
2_56,2_19,Warrior,Normal,1781,36,95,14881,,,,,,,,,,,,,,,,,,,,,
2_57,2_19,Tank,Normal,2375,24,178,22575,,,,,,,,,,,,,,,,,,,,,
2_58,2_19,Archer,Normal,1187,59,36,10687,,,,,,,,,,,,,,,,,,,,,
2_59,2_20,Warrior,Normal,1795,36,96,14995,,,,,,,,,,,,,,,,,,,,,
2_60,2_20,Tank,Normal,2393,24,180,22793,,,,,,,,,,,,,,,,,,,,,
2_61,2_20,Archer,Normal,1197,60,36,10797,,,,,,,,,,,,,,,,,,,,,
2_62,2_25,Warrior,Normal,1858,37,99,15458,,,,,,,,,,,,,,,,,,,,,
2_63,2_21,Warrior,Normal,1809,36,96,15009,,,,,,,,,,,,,,,,,,,,,
2_64,2_21,Tank,Normal,2411,24,181,22911,,,,,,,,,,,,,,,,,,,,,
2_65,2_21,Archer,Normal,1206,60,36,10806,,,,,,,,,,,,,,,,,,,,,
2_66,2_22,Warrior,Normal,1822,36,97,15122,,,,,,,,,,,,,,,,,,,,,
2_67,2_22,Tank,Normal,2429,24,182,23029,,,,,,,,,,,,,,,,,,,,,
2_68,2_22,Archer,Normal,1214,61,36,10914,,,,,,,,,,,,,,,,,,,,,
2_69,2_23,Warrior,Normal,1834,37,98,15334,,,,,,,,,,,,,,,,,,,,,
2_70,2_23,Tank,Normal,2445,24,183,23145,,,,,,,,,,,,,,,,,,,,,
2_71,2_23,Archer,Normal,1223,61,37,11023,,,,,,,,,,,,,,,,,,,,,
2_72,2_24,Warrior,Normal,1846,37,98,15346,,,,,,,,,,,,,,,,,,,,,
2_73,2_24,Tank,Normal,2462,25,185,23462,,,,,,,,,,,,,,,,,,,,,
2_74,2_24,Archer,Normal,1231,62,37,11131,,,,,,,,,,,,,,,,,,,,,
2_75,2_25,Warrior,Normal,1858,37,99,15458,,,,,,,,,,,,,,,,,,,,,
2_76,2_25,Tank,Normal,2477,25,186,23577,,,,,,,,,,,,,,,,,,,,,
2_77,2_25,Archer,Normal,1239,62,37,11139,,,,,,,,,,,,,,,,,,,,,
2_78,2_26,Warrior,Normal,1869,37,100,15569,,,,,,,,,,,,,,,,,,,,,
2_79,2_26,Tank,Normal,2493,25,187,23693,,,,,,,,,,,,,,,,,,,,,
2_80,2_26,Archer,Normal,1246,62,37,11146,,,,,,,,,,,,,,,,,,,,,
2_81,2_27,Warrior,Normal,1880,38,100,15680,,,,,,,,,,,,,,,,,,,,,
2_82,2_27,Tank,Normal,2507,25,188,23807,,,,,,,,,,,,,,,,,,,,,
2_83,2_27,Archer,Normal,1254,63,38,11354,,,,,,,,,,,,,,,,,,,,,
2_84,2_28,Warrior,Normal,1891,38,101,15791,,,,,,,,,,,,,,,,,,,,,
2_85,2_28,Tank,Normal,2522,25,189,23922,,,,,,,,,,,,,,,,,,,,,
2_86,2_28,Archer,Normal,1261,63,38,11361,,,,,,,,,,,,,,,,,,,,,
2_87,2_29,Warrior,Normal,1902,38,101,15802,,,,,,,,,,,,,,,,,,,,,
2_88,2_29,Tank,Normal,2536,25,190,24036,,,,,,,,,,,,,,,,,,,,,
2_89,2_29,Archer,Normal,1268,63,38,11368,,,,,,,,,,,,,,,,,,,,,
2_90,2_30,Warrior,Normal,1912,38,102,15912,,,,,,,,,,,,,,,,,,,,,
2_91,2_30,Tank,Normal,2549,25,191,24149,,,,,,,,,,,,,,,,,,,,,
2_92,2_30,Archer,Normal,1275,64,38,11475,,,,,,,,,,,,,,,,,,,,,
2_93,2_35,Warrior,Named,4898,98,261,40798,1,1,1,,,,,,,,,,,,,,,,,,
2_94,2_31,Warrior,Normal,1922,38,102,15922,,,,,,,,,,,,,,,,,,,,,
2_95,2_31,Tank,Normal,2562,26,192,24362,,,,,,,,,,,,,,,,,,,,,
2_96,2_31,Archer,Normal,1281,64,38,11481,,,,,,,,,,,,,,,,,,,,,
2_97,2_32,Warrior,Normal,1931,39,103,16131,,,,,,,,,,,,,,,,,,,,,
2_98,2_32,Tank,Normal,2575,26,193,24475,,,,,,,,,,,,,,,,,,,,,
2_99,2_32,Archer,Normal,1288,64,39,11588,,,,,,,,,,,,,,,,,,,,,
2_100,2_33,Warrior,Normal,1941,39,104,16241,,,,,,,,,,,,,,,,,,,,,
2_101,2_33,Tank,Normal,2588,26,194,24588,,,,,,,,,,,,,,,,,,,,,
2_102,2_33,Archer,Normal,1294,65,39,11694,,,,,,,,,,,,,,,,,,,,,
2_103,2_34,Warrior,Normal,1950,39,104,16250,,,,,,,,,,,,,,,,,,,,,
2_104,2_34,Tank,Normal,2600,26,195,24700,,,,,,,,,,,,,,,,,,,,,
2_105,2_34,Archer,Normal,1300,65,39,11700,,,,,,,,,,,,,,,,,,,,,
2_106,2_35,Warrior,Normal,1959,39,104,16259,,,,,,,,,,,,,,,,,,,,,
2_107,2_35,Tank,Normal,2612,26,196,24812,,,,,,,,,,,,,,,,,,,,,
2_108,2_35,Archer,Normal,1306,65,39,11706,,,,,,,,,,,,,,,,,,,,,
2_109,2_36,Warrior,Normal,1968,39,105,16368,,,,,,,,,,,,,,,,,,,,,
2_110,2_36,Tank,Normal,2624,26,197,24924,,,,,,,,,,,,,,,,,,,,,
2_111,2_36,Archer,Normal,1312,66,39,11812,,,,,,,,,,,,,,,,,,,,,
2_112,2_37,Warrior,Normal,1977,40,105,16477,,,,,,,,,,,,,,,,,,,,,
2_113,2_37,Tank,Normal,2636,26,198,25036,,,,,,,,,,,,,,,,,,,,,
2_114,2_37,Archer,Normal,1318,66,40,11918,,,,,,,,,,,,,,,,,,,,,
2_115,2_38,Warrior,Normal,1985,40,106,16585,,,,,,,,,,,,,,,,,,,,,
2_116,2_38,Tank,Normal,2647,26,199,25147,,,,,,,,,,,,,,,,,,,,,
2_117,2_38,Archer,Normal,1323,66,40,11923,,,,,,,,,,,,,,,,,,,,,
2_118,2_39,Warrior,Normal,1993,40,106,16593,,,,,,,,,,,,,,,,,,,,,
2_119,2_39,Tank,Normal,2658,27,199,25258,,,,,,,,,,,,,,,,,,,,,
2_120,2_39,Archer,Normal,1329,66,40,11929,,,,,,,,,,,,,,,,,,,,,
2_121,2_40,Warrior,Normal,2002,40,107,16702,,,,,,,,,,,,,,,,,,,,,
2_122,2_40,Tank,Normal,2669,27,200,25369,,,,,,,,,,,,,,,,,,,,,
2_123,2_40,Archer,Normal,1334,67,40,12034,,,,,,,,,,,,,,,,,,,,,
2_124,2_45,Warrior,Named,5100,102,272,42500,1,1,1,,,,,,,,,,,,,,,,,,
2_125,2_41,Warrior,Normal,2010,40,107,16710,,,,,,,,,,,,,,,,,,,,,
2_126,2_41,Tank,Normal,2679,27,201,25479,,,,,,,,,,,,,,,,,,,,,
2_127,2_41,Archer,Normal,1340,67,40,12040,,,,,,,,,,,,,,,,,,,,,
2_128,2_42,Warrior,Normal,2017,40,108,16817,,,,,,,,,,,,,,,,,,,,,
2_129,2_42,Tank,Normal,2690,27,202,25590,,,,,,,,,,,,,,,,,,,,,
2_130,2_42,Archer,Normal,1345,67,40,12045,,,,,,,,,,,,,,,,,,,,,
2_131,2_43,Warrior,Normal,2025,41,108,16925,,,,,,,,,,,,,,,,,,,,,
2_132,2_43,Tank,Normal,2700,27,203,25700,,,,,,,,,,,,,,,,,,,,,
2_133,2_43,Archer,Normal,1350,68,41,12250,,,,,,,,,,,,,,,,,,,,,
2_134,2_44,Warrior,Normal,2033,41,108,16933,,,,,,,,,,,,,,,,,,,,,
2_135,2_44,Tank,Normal,2710,27,203,25710,,,,,,,,,,,,,,,,,,,,,
2_136,2_44,Archer,Normal,1355,68,41,12255,,,,,,,,,,,,,,,,,,,,,
2_137,2_45,Warrior,Normal,2040,41,109,17040,,,,,,,,,,,,,,,,,,,,,
2_138,2_45,Tank,Normal,2720,27,204,25820,,,,,,,,,,,,,,,,,,,,,
2_139,2_45,Archer,Normal,1360,68,41,12260,,,,,,,,,,,,,,,,,,,,,
2_140,2_46,Warrior,Normal,2047,41,109,17047,,,,,,,,,,,,,,,,,,,,,
2_141,2_46,Tank,Normal,2730,27,205,25930,,,,,,,,,,,,,,,,,,,,,
2_142,2_46,Archer,Normal,1365,68,41,12265,,,,,,,,,,,,,,,,,,,,,
2_143,2_47,Warrior,Normal,2055,41,110,17155,,,,,,,,,,,,,,,,,,,,,
2_144,2_47,Tank,Normal,2739,27,205,25939,,,,,,,,,,,,,,,,,,,,,
2_145,2_47,Archer,Normal,1370,68,41,12270,,,,,,,,,,,,,,,,,,,,,
2_146,2_48,Warrior,Normal,2062,41,110,17162,,,,,,,,,,,,,,,,,,,,,
2_147,2_48,Tank,Normal,2749,27,206,26049,,,,,,,,,,,,,,,,,,,,,
2_148,2_48,Archer,Normal,1374,69,41,12374,,,,,,,,,,,,,,,,,,,,,
