,,,,,,,,,,,
ID,GroupID,order,abil_type,up_value,Level,_Desc_MissionReward_Value,AssetType,AssetValue,ConditionID,Accumulated,_RoundDown
100069,10001,1,Damage,1,69,,Gold,1460,,93,1460
100070,10001,1,Damage,5,70,,Gold,1509,,98,1509
100071,10001,1,Damage,1,71,,Gold,1549,,99,1549
100072,10001,1,Damage,1,72,,Gold,1589,,100,1589
100073,10001,1,Damage,1,73,,Gold,1630,,101,1630
100074,10001,1,Damage,1,74,,Gold,1671,,102,1671
100075,10001,1,Damage,1,75,,Gold,1713,,103,1713
100076,10001,1,Damage,1,76,,Gold,1755,,104,1755
100077,10001,1,Damage,1,77,,Gold,1798,,105,1798
100078,10001,1,Damage,1,78,,Gold,1841,,106,1841
100079,10001,1,Damage,1,79,,Gold,1885,,107,1885
100080,10001,1,Damage,5,80,,Gold,1940,,112,1940
100081,10001,1,Damage,1,81,,Gold,1985,,113,1985
100082,10001,1,Damage,1,82,,Gold,2030,,114,2030
100083,10001,1,Damage,1,83,,Gold,2076,,115,2076
100084,10001,1,Damage,1,84,,Gold,2122,,116,2122
100085,10001,1,Damage,1,85,,Gold,2169,,117,2169
100086,10001,1,Damage,1,86,,Gold,2216,,118,2216
100087,10001,1,Damage,1,87,,Gold,2264,,119,2264
100088,10001,1,Damage,1,88,,Gold,2312,,120,2312
100089,10001,1,Damage,1,89,,Gold,2361,,121,2361
100090,10001,1,Damage,5,90,,Gold,2423,,126,2423
100091,10001,1,Damage,1,91,,Gold,2473,,127,2473
100092,10001,1,Damage,1,92,,Gold,2524,,128,2524
100093,10001,1,Damage,1,93,,Gold,2575,,129,2575
100094,10001,1,Damage,1,94,,Gold,2627,,130,2627
100095,10001,1,Damage,1,95,,Gold,2679,,131,2679
100096,10001,1,Damage,1,96,,Gold,2732,,132,2732
100097,10001,1,Damage,1,97,,Gold,2785,,133,2785
100098,10001,1,Damage,1,98,,Gold,2839,,134,2839
100099,10001,1,Damage,1,99,,Gold,2893,,135,2893
100100,10001,1,Damage,5,100,,Gold,2961,,140,2961
100101,10001,1,Damage,1,101,,Gold,3016,,141,3016
100102,10001,1,Damage,1,102,,Gold,3072,,142,3072
100103,10001,1,Damage,1,103,,Gold,3128,,143,3128
100104,10001,1,Damage,1,104,,Gold,3185,,144,3185
100105,10001,1,Damage,1,105,,Gold,3242,,145,3242
100106,10001,1,Damage,1,106,,Gold,3300,,146,3300
100107,10001,1,Damage,1,107,,Gold,3358,,147,3358
100108,10001,1,Damage,1,108,,Gold,3417,,148,3417
100109,10001,1,Damage,1,109,,Gold,3476,,149,3476
100110,10001,1,Damage,5,110,,Gold,3550,,154,3550
100111,10001,1,Damage,1,111,,Gold,3610,,155,3610
100112,10001,1,Damage,1,112,,Gold,3671,,156,3671
100113,10001,1,Damage,1,113,,Gold,3732,,157,3732
100114,10001,1,Damage,1,114,,Gold,3794,,158,3794
100115,10001,1,Damage,1,115,,Gold,3856,,159,3856
100116,10001,1,Damage,1,116,,Gold,3919,,160,3919
100117,10001,1,Damage,1,117,,Gold,3982,,161,3982
100118,10001,1,Damage,1,118,,Gold,4046,,162,4046
100119,10001,1,Damage,1,119,,Gold,4110,,163,4110
100120,10001,1,Damage,5,120,,Gold,4191,,168,4191
100121,10001,1,Damage,1,121,,Gold,4256,,169,4256
100122,10001,1,Damage,1,122,,Gold,4322,,170,4322
100123,10001,1,Damage,1,123,,Gold,4388,,171,4388
100124,10001,1,Damage,1,124,,Gold,4455,,172,4455
100125,10001,1,Damage,1,125,,Gold,4522,,173,4522
100126,10001,1,Damage,1,126,,Gold,4590,,174,4590
100127,10001,1,Damage,1,127,,Gold,4658,,175,4658
100128,10001,1,Damage,1,128,,Gold,4727,,176,4727
100129,10001,1,Damage,1,129,,Gold,4796,,177,4796
100130,10001,1,Damage,5,130,,Gold,4883,,182,4883
100131,10001,1,Damage,1,131,,Gold,4953,,183,4953
100132,10001,1,Damage,1,132,,Gold,5024,,184,5024
100133,10001,1,Damage,1,133,,Gold,5095,,185,5095
100134,10001,1,Damage,1,134,,Gold,5167,,186,5167
100135,10001,1,Damage,1,135,,Gold,5239,,187,5239
100136,10001,1,Damage,1,136,,Gold,5312,,188,5312
100137,10001,1,Damage,1,137,,Gold,5385,,189,5385
100138,10001,1,Damage,1,138,,Gold,5459,,190,5459
100139,10001,1,Damage,1,139,,Gold,5533,,191,5533
100140,10001,1,Damage,5,140,,Gold,5626,,196,5626
100141,10001,1,Damage,1,141,,Gold,5701,,197,5701
100142,10001,1,Damage,1,142,,Gold,5777,,198,5777
100143,10001,1,Damage,1,143,,Gold,5853,,199,5853
100144,10001,1,Damage,1,144,,Gold,5930,,200,5930
100145,10001,1,Damage,1,145,,Gold,6007,,201,6007
100146,10001,1,Damage,1,146,,Gold,6085,,202,6085
100147,10001,1,Damage,1,147,,Gold,6163,,203,6163
100148,10001,1,Damage,1,148,,Gold,6242,,204,6242
100149,10001,1,Damage,1,149,,Gold,6321,,205,6321
100150,10001,1,Damage,5,150,,Gold,6420,,210,6420
100151,10001,1,Damage,1,151,,Gold,6500,,211,6500
100152,10001,1,Damage,1,152,,Gold,6581,,212,6581
100153,10001,1,Damage,1,153,,Gold,6662,,213,6662
100154,10001,1,Damage,1,154,,Gold,6744,,214,6744
100155,10001,1,Damage,1,155,,Gold,6826,,215,6826
100156,10001,1,Damage,1,156,,Gold,6909,,216,6909
100157,10001,1,Damage,1,157,,Gold,6992,,217,6992
100158,10001,1,Damage,1,158,,Gold,7076,,218,7076
100159,10001,1,Damage,1,159,,Gold,7160,,219,7160
100160,10001,1,Damage,5,160,,Gold,7265,,224,7265
100161,10001,1,Damage,1,161,,Gold,7350,,225,7350
100162,10001,1,Damage,1,162,,Gold,7436,,226,7436
100163,10001,1,Damage,1,163,,Gold,7522,,227,7522
100164,10001,1,Damage,1,164,,Gold,7608,,228,7608
100165,10001,1,Damage,1,165,,Gold,7695,,229,7695
100166,10001,1,Damage,1,166,,Gold,7782,,230,7782
100167,10001,1,Damage,1,167,,Gold,7870,,231,7870
100168,10001,1,Damage,1,168,,Gold,7958,,232,7958
100169,10001,1,Damage,1,169,,Gold,8047,,233,8047
100170,10001,1,Damage,5,170,,Gold,8158,,238,8158
100171,10001,1,Damage,1,171,,Gold,8248,,239,8248
100172,10001,1,Damage,1,172,,Gold,8338,,240,8338
100173,10001,1,Damage,1,173,,Gold,8429,,241,8429
100174,10001,1,Damage,1,174,,Gold,8520,,242,8520
100175,10001,1,Damage,1,175,,Gold,8612,,243,8612
100176,10001,1,Damage,1,176,,Gold,8704,,244,8704
100177,10001,1,Damage,1,177,,Gold,8797,,245,8797
100178,10001,1,Damage,1,178,,Gold,8890,,246,8890
100179,10001,1,Damage,1,179,,Gold,8984,,247,8984
100180,10001,1,Damage,5,180,,Gold,9102,,252,9102
100181,10001,1,Damage,1,181,,Gold,9197,,253,9197
100182,10001,1,Damage,1,182,,Gold,9292,,254,9292
100183,10001,1,Damage,1,183,,Gold,9388,,255,9388
100184,10001,1,Damage,1,184,,Gold,9484,,256,9484
100185,10001,1,Damage,1,185,,Gold,9581,,257,9581
100186,10001,1,Damage,1,186,,Gold,9678,,258,9678
100187,10001,1,Damage,1,187,,Gold,9776,,259,9776
100188,10001,1,Damage,1,188,,Gold,9874,,260,9874
100189,10001,1,Damage,1,189,,Gold,9973,,261,9973
100190,10001,1,Damage,5,190,,Gold,10097,,266,10097
100191,10001,1,Damage,1,191,,Gold,10197,,267,10197
100192,10001,1,Damage,1,192,,Gold,10297,,268,10297
100193,10001,1,Damage,1,193,,Gold,10398,,269,10398
100194,10001,1,Damage,1,194,,Gold,10499,,270,10499
100195,10001,1,Damage,1,195,,Gold,10601,,271,10601
100196,10001,1,Damage,1,196,,Gold,10703,,272,10703
100197,10001,1,Damage,1,197,,Gold,10806,,273,10806
100198,10001,1,Damage,1,198,,Gold,10909,,274,10909
100199,10001,1,Damage,1,199,,Gold,11013,,275,11013
100200,10001,1,Damage,5,200,,Gold,11143,,280,11143
100201,10001,1,Damage,1,201,,Gold,11248,,281,11248
100202,10001,1,Damage,1,202,,Gold,11353,,282,11353
100203,10001,1,Damage,1,203,,Gold,11459,,283,11459
100204,10001,1,Damage,1,204,,Gold,11565,,284,11565
100205,10001,1,Damage,1,205,,Gold,11671,,285,11671
100206,10001,1,Damage,1,206,,Gold,11778,,286,11778
100207,10001,1,Damage,1,207,,Gold,11885,,287,11885
100208,10001,1,Damage,1,208,,Gold,11993,,288,11993
100209,10001,1,Damage,1,209,,Gold,12101,,289,12101
100210,10001,1,Damage,5,210,,Gold,12237,,294,12237
100211,10001,1,Damage,1,211,,Gold,12346,,295,12346
100212,10001,1,Damage,1,212,,Gold,12456,,296,12456
100213,10001,1,Damage,1,213,,Gold,12566,,297,12566
100214,10001,1,Damage,1,214,,Gold,12677,,298,12677
100215,10001,1,Damage,1,215,,Gold,12788,,299,12788
100216,10001,1,Damage,1,216,,Gold,12900,,300,12900
100217,10001,1,Damage,1,217,,Gold,13012,,301,13012
100218,10001,1,Damage,1,218,,Gold,13125,,302,13125
100219,10001,1,Damage,1,219,,Gold,13238,,303,13238
100220,10001,1,Damage,5,220,,Gold,13380,,308,13380
100221,10001,1,Damage,1,221,,Gold,13494,,309,13494
100222,10001,1,Damage,1,222,,Gold,13609,,310,13609
100223,10001,1,Damage,1,223,,Gold,13724,,311,13724
100224,10001,1,Damage,1,224,,Gold,13840,,312,13840
100225,10001,1,Damage,1,225,,Gold,13956,,313,13956
100226,10001,1,Damage,1,226,,Gold,14073,,314,14073
100227,10001,1,Damage,1,227,,Gold,14190,,315,14190
100228,10001,1,Damage,1,228,,Gold,14308,,316,14308
100229,10001,1,Damage,1,229,,Gold,14426,,317,14426
100230,10001,1,Damage,5,230,,Gold,14574,,322,14574
100231,10001,1,Damage,1,231,,Gold,14693,,323,14693
100232,10001,1,Damage,1,232,,Gold,14812,,324,14812
100233,10001,1,Damage,1,233,,Gold,14932,,325,14932
100234,10001,1,Damage,1,234,,Gold,15052,,326,15052
100235,10001,1,Damage,1,235,,Gold,15173,,327,15173
100236,10001,1,Damage,1,236,,Gold,15294,,328,15294
100237,10001,1,Damage,1,237,,Gold,15416,,329,15416
100238,10001,1,Damage,1,238,,Gold,15538,,330,15538
100239,10001,1,Damage,1,239,,Gold,15661,,331,15661
100240,10001,1,Damage,5,240,,Gold,15815,,336,15815
100241,10001,1,Damage,1,241,,Gold,15939,,337,15939
100242,10001,1,Damage,1,242,,Gold,16063,,338,16063
100243,10001,1,Damage,1,243,,Gold,16188,,339,16188
100244,10001,1,Damage,1,244,,Gold,16313,,340,16313
100245,10001,1,Damage,1,245,,Gold,16439,,341,16439
100246,10001,1,Damage,1,246,,Gold,16565,,342,16565
100247,10001,1,Damage,1,247,,Gold,16692,,343,16692
100248,10001,1,Damage,1,248,,Gold,16819,,344,16819
100249,10001,1,Damage,1,249,,Gold,16947,,345,16947
100250,10001,1,Damage,5,250,,Gold,17107,,350,17107
100251,10001,1,Damage,1,251,,Gold,17236,,351,17236
100252,10001,1,Damage,1,252,,Gold,17365,,352,17365
100253,10001,1,Damage,1,253,,Gold,17495,,353,17495
100254,10001,1,Damage,1,254,,Gold,17625,,354,17625
100255,10001,1,Damage,1,255,,Gold,17755,,355,17755
100256,10001,1,Damage,1,256,,Gold,17886,,356,17886
100257,10001,1,Damage,1,257,,Gold,18017,,357,18017
100258,10001,1,Damage,1,258,,Gold,18149,,358,18149
100259,10001,1,Damage,1,259,,Gold,18281,,359,18281
100260,10001,1,Damage,5,260,,Gold,18447,,364,18447
100261,10001,1,Damage,1,261,,Gold,18580,,365,18580
100262,10001,1,Damage,1,262,,Gold,18714,,366,18714
100263,10001,1,Damage,1,263,,Gold,18848,,367,18848
100264,10001,1,Damage,1,264,,Gold,18983,,368,18983
100265,10001,1,Damage,1,265,,Gold,19118,,369,19118
100266,10001,1,Damage,1,266,,Gold,19254,,370,19254
100267,10001,1,Damage,1,267,,Gold,19390,,371,19390
100268,10001,1,Damage,1,268,,Gold,19527,,372,19527
100269,10001,1,Damage,1,269,,Gold,19664,,373,19664
100270,10001,1,Damage,5,270,,Gold,19836,,378,19836
100271,10001,1,Damage,1,271,,Gold,19974,,379,19974
100272,10001,1,Damage,1,272,,Gold,20113,,380,20113
100273,10001,1,Damage,1,273,,Gold,20252,,381,20252
100274,10001,1,Damage,1,274,,Gold,20392,,382,20392
100275,10001,1,Damage,1,275,,Gold,20532,,383,20532
100276,10001,1,Damage,1,276,,Gold,20672,,384,20672
100277,10001,1,Damage,1,277,,Gold,20813,,385,20813
100278,10001,1,Damage,1,278,,Gold,20954,,386,20954
100279,10001,1,Damage,1,279,,Gold,21096,,387,21096
100280,10001,1,Damage,5,280,,Gold,21273,,392,21273
100281,10001,1,Damage,1,281,,Gold,21416,,393,21416
100282,10001,1,Damage,1,282,,Gold,21559,,394,21559
100283,10001,1,Damage,1,283,,Gold,21703,,395,21703
100284,10001,1,Damage,1,284,,Gold,21847,,396,21847
100285,10001,1,Damage,1,285,,Gold,21992,,397,21992
100286,10001,1,Damage,1,286,,Gold,22137,,398,22137
100287,10001,1,Damage,1,287,,Gold,22283,,399,22283
100288,10001,1,Damage,1,288,,Gold,22429,,400,22429
100289,10001,1,Damage,1,289,,Gold,22576,,401,22576
100290,10001,1,Damage,5,290,,Gold,22759,,406,22759
100291,10001,1,Damage,1,291,,Gold,22907,,407,22907
100292,10001,1,Damage,1,292,,Gold,23055,,408,23055
100293,10001,1,Damage,1,293,,Gold,23204,,409,23204
100294,10001,1,Damage,1,294,,Gold,23353,,410,23353
100295,10001,1,Damage,1,295,,Gold,23502,,411,23502
100296,10001,1,Damage,1,296,,Gold,23652,,412,23652
100297,10001,1,Damage,1,297,,Gold,23802,,413,23802
100298,10001,1,Damage,1,298,,Gold,23953,,414,23953
100299,10001,1,Damage,1,299,,Gold,24104,,415,24104
100300,10001,1,Damage,5,300,,Gold,24293,,420,24293
100301,10001,1,Damage,1,301,,Gold,24445,,421,24445
100302,10001,1,Damage,1,302,,Gold,24598,,422,24598
100303,10001,1,Damage,1,303,,Gold,24751,,423,24751
100304,10001,1,Damage,1,304,,Gold,24905,,424,24905
100305,10001,1,Damage,1,305,,Gold,25059,,425,25059
100306,10001,1,Damage,1,306,,Gold,25214,,426,25214
100307,10001,1,Damage,1,307,,Gold,25369,,427,25369
100308,10001,1,Damage,1,308,,Gold,25525,,428,25525
100309,10001,1,Damage,1,309,,Gold,25681,,429,25681
100310,10001,1,Damage,5,310,,Gold,25876,,434,25876
100311,10001,1,Damage,1,311,,Gold,26033,,435,26033
100312,10001,1,Damage,1,312,,Gold,26190,,436,26190
100313,10001,1,Damage,1,313,,Gold,26348,,437,26348
100314,10001,1,Damage,1,314,,Gold,26506,,438,26506
100315,10001,1,Damage,1,315,,Gold,26665,,439,26665
100316,10001,1,Damage,1,316,,Gold,26824,,440,26824
100317,10001,1,Damage,1,317,,Gold,26984,,441,26984
100318,10001,1,Damage,1,318,,Gold,27144,,442,27144
100319,10001,1,Damage,1,319,,Gold,27305,,443,27305
100320,10001,1,Damage,5,320,,Gold,27506,,448,27506
100321,10001,1,Damage,1,321,,Gold,27668,,449,27668
100322,10001,1,Damage,1,322,,Gold,27830,,450,27830
100323,10001,1,Damage,1,323,,Gold,27993,,451,27993
100324,10001,1,Damage,1,324,,Gold,28156,,452,28156
100325,10001,1,Damage,1,325,,Gold,28320,,453,28320
100326,10001,1,Damage,1,326,,Gold,28484,,454,28484
100327,10001,1,Damage,1,327,,Gold,28649,,455,28649
100328,10001,1,Damage,1,328,,Gold,28814,,456,28814
100329,10001,1,Damage,1,329,,Gold,28979,,457,28979
100330,10001,1,Damage,5,330,,Gold,29186,,462,29186
100331,10001,1,Damage,1,331,,Gold,29352,,463,29352
100332,10001,1,Damage,1,332,,Gold,29519,,464,29519
100333,10001,1,Damage,1,333,,Gold,29686,,465,29686
100334,10001,1,Damage,1,334,,Gold,29854,,466,29854
100335,10001,1,Damage,1,335,,Gold,30022,,467,30022
100336,10001,1,Damage,1,336,,Gold,30191,,468,30191
100337,10001,1,Damage,1,337,,Gold,30360,,469,30360
100338,10001,1,Damage,1,338,,Gold,30530,,470,30530
100339,10001,1,Damage,1,339,,Gold,30700,,471,30700
100340,10001,1,Damage,5,340,,Gold,30913,,476,30913
100341,10001,1,Damage,1,341,,Gold,31084,,477,31084
100342,10001,1,Damage,1,342,,Gold,31256,,478,31256
100343,10001,1,Damage,1,343,,Gold,31428,,479,31428
100344,10001,1,Damage,1,344,,Gold,31600,,480,31600
100345,10001,1,Damage,1,345,,Gold,31773,,481,31773
100346,10001,1,Damage,1,346,,Gold,31946,,482,31946
100347,10001,1,Damage,1,347,,Gold,32120,,483,32120
100348,10001,1,Damage,1,348,,Gold,32294,,484,32294
100349,10001,1,Damage,1,349,,Gold,32469,,485,32469
100350,10001,1,Damage,5,350,,Gold,32687,,490,32687
100351,10001,1,Damage,1,351,,Gold,32863,,491,32863
100352,10001,1,Damage,1,352,,Gold,33039,,492,33039
100353,10001,1,Damage,1,353,,Gold,33216,,493,33216
100354,10001,1,Damage,1,354,,Gold,33393,,494,33393
100355,10001,1,Damage,1,355,,Gold,33571,,495,33571
100356,10001,1,Damage,1,356,,Gold,33749,,496,33749
100357,10001,1,Damage,1,357,,Gold,33928,,497,33928
100358,10001,1,Damage,1,358,,Gold,34107,,498,34107
100359,10001,1,Damage,1,359,,Gold,34286,,499,34286
100360,10001,1,Damage,5,360,,Gold,34510,,504,34510
100361,10001,1,Damage,1,361,,Gold,34690,,505,34690
100362,10001,1,Damage,1,362,,Gold,34871,,506,34871
100363,10001,1,Damage,1,363,,Gold,35052,,507,35052
100364,10001,1,Damage,1,364,,Gold,35234,,508,35234
100365,10001,1,Damage,1,365,,Gold,35416,,509,35416
100366,10001,1,Damage,1,366,,Gold,35599,,510,35599
100367,10001,1,Damage,1,367,,Gold,35782,,511,35782
100368,10001,1,Damage,1,368,,Gold,35966,,512,35966
100369,10001,1,Damage,1,369,,Gold,36150,,513,36150
100370,10001,1,Damage,5,370,,Gold,36380,,518,36380
100371,10001,1,Damage,1,371,,Gold,36565,,519,36565
100372,10001,1,Damage,1,372,,Gold,36751,,520,36751
100373,10001,1,Damage,1,373,,Gold,36937,,521,36937
100374,10001,1,Damage,1,374,,Gold,37123,,522,37123
100375,10001,1,Damage,1,375,,Gold,37310,,523,37310
100376,10001,1,Damage,1,376,,Gold,37497,,524,37497
100377,10001,1,Damage,1,377,,Gold,37685,,525,37685
100378,10001,1,Damage,1,378,,Gold,37873,,526,37873
100379,10001,1,Damage,1,379,,Gold,38062,,527,38062
100380,10001,1,Damage,5,380,,Gold,38298,,532,38298
100381,10001,1,Damage,1,381,,Gold,38488,,533,38488
100382,10001,1,Damage,1,382,,Gold,38678,,534,38678
100383,10001,1,Damage,1,383,,Gold,38869,,535,38869
100384,10001,1,Damage,1,384,,Gold,39060,,536,39060
100385,10001,1,Damage,1,385,,Gold,39252,,537,39252
100386,10001,1,Damage,1,386,,Gold,39444,,538,39444
100387,10001,1,Damage,1,387,,Gold,39636,,539,39636
100388,10001,1,Damage,1,388,,Gold,39829,,540,39829
100389,10001,1,Damage,1,389,,Gold,40022,,541,40022
100390,10001,1,Damage,5,390,,Gold,40264,,546,40264
100391,10001,1,Damage,1,391,,Gold,40458,,547,40458
100392,10001,1,Damage,1,392,,Gold,40653,,548,40653
100393,10001,1,Damage,1,393,,Gold,40848,,549,40848
100394,10001,1,Damage,1,394,,Gold,41044,,550,41044
100395,10001,1,Damage,1,395,,Gold,41240,,551,41240
100396,10001,1,Damage,1,396,,Gold,41437,,552,41437
100397,10001,1,Damage,1,397,,Gold,41634,,553,41634
100398,10001,1,Damage,1,398,,Gold,41832,,554,41832
100399,10001,1,Damage,1,399,,Gold,42030,,555,42030
100400,10001,1,Damage,5,400,,Gold,42277,,560,42277
100401,10001,1,Damage,1,401,,Gold,42476,,561,42476
100402,10001,1,Damage,1,402,,Gold,42675,,562,42675
100403,10001,1,Damage,1,403,,Gold,42875,,563,42875
100404,10001,1,Damage,1,404,,Gold,43075,,564,43075
100405,10001,1,Damage,1,405,,Gold,43276,,565,43276
100406,10001,1,Damage,1,406,,Gold,43477,,566,43477
100407,10001,1,Damage,1,407,,Gold,43679,,567,43679
100408,10001,1,Damage,1,408,,Gold,43881,,568,43881
100409,10001,1,Damage,1,409,,Gold,44084,,569,44084
100410,10001,1,Damage,5,410,,Gold,44337,,574,44337
100411,10001,1,Damage,1,411,,Gold,44541,,575,44541
100412,10001,1,Damage,1,412,,Gold,44745,,576,44745
100413,10001,1,Damage,1,413,,Gold,44950,,577,44950
100414,10001,1,Damage,1,414,,Gold,45155,,578,45155
100415,10001,1,Damage,1,415,,Gold,45360,,579,45360
100416,10001,1,Damage,1,416,,Gold,45566,,580,45566
100417,10001,1,Damage,1,417,,Gold,45772,,581,45772
100418,10001,1,Damage,1,418,,Gold,45979,,582,45979
100419,10001,1,Damage,1,419,,Gold,46186,,583,46186
100420,10001,1,Damage,5,420,,Gold,46445,,588,46445
100421,10001,1,Damage,1,421,,Gold,46653,,589,46653
100422,10001,1,Damage,1,422,,Gold,46862,,590,46862
100423,10001,1,Damage,1,423,,Gold,47071,,591,47071
100424,10001,1,Damage,1,424,,Gold,47281,,592,47281
100425,10001,1,Damage,1,425,,Gold,47491,,593,47491
100426,10001,1,Damage,1,426,,Gold,47702,,594,47702
100427,10001,1,Damage,1,427,,Gold,47913,,595,47913
100428,10001,1,Damage,1,428,,Gold,48124,,596,48124
100429,10001,1,Damage,1,429,,Gold,48336,,597,48336
100430,10001,1,Damage,5,430,,Gold,48601,,602,48601
100431,10001,1,Damage,1,431,,Gold,48814,,603,48814
100432,10001,1,Damage,1,432,,Gold,49027,,604,49027
100433,10001,1,Damage,1,433,,Gold,49241,,605,49241
100434,10001,1,Damage,1,434,,Gold,49455,,606,49455
100435,10001,1,Damage,1,435,,Gold,49670,,607,49670
100436,10001,1,Damage,1,436,,Gold,49885,,608,49885
100437,10001,1,Damage,1,437,,Gold,50101,,609,50101
100438,10001,1,Damage,1,438,,Gold,50317,,610,50317
100439,10001,1,Damage,1,439,,Gold,50533,,611,50533
100440,10001,1,Damage,5,440,,Gold,50803,,616,50803
100441,10001,1,Damage,1,441,,Gold,51020,,617,51020
100442,10001,1,Damage,1,442,,Gold,51238,,618,51238
100443,10001,1,Damage,1,443,,Gold,51456,,619,51456
100444,10001,1,Damage,1,444,,Gold,51675,,620,51675
100445,10001,1,Damage,1,445,,Gold,51894,,621,51894
100446,10001,1,Damage,1,446,,Gold,52114,,622,52114
100447,10001,1,Damage,1,447,,Gold,52334,,623,52334
100448,10001,1,Damage,1,448,,Gold,52555,,624,52555
100449,10001,1,Damage,1,449,,Gold,52776,,625,52776
100450,10001,1,Damage,5,450,,Gold,53052,,630,53052
100451,10001,1,Damage,1,451,,Gold,53274,,631,53274
100452,10001,1,Damage,1,452,,Gold,53497,,632,53497
100453,10001,1,Damage,1,453,,Gold,53720,,633,53720
100454,10001,1,Damage,1,454,,Gold,53943,,634,53943
100455,10001,1,Damage,1,455,,Gold,54167,,635,54167
100456,10001,1,Damage,1,456,,Gold,54391,,636,54391
100457,10001,1,Damage,1,457,,Gold,54616,,637,54616
100458,10001,1,Damage,1,458,,Gold,54841,,638,54841
100459,10001,1,Damage,1,459,,Gold,55067,,639,55067
100460,10001,1,Damage,5,460,,Gold,55349,,644,55349
100461,10001,1,Damage,1,461,,Gold,55576,,645,55576
100462,10001,1,Damage,1,462,,Gold,55803,,646,55803
100463,10001,1,Damage,1,463,,Gold,56031,,647,56031
100464,10001,1,Damage,1,464,,Gold,56259,,648,56259
